Date,Day Number,New Cases,Cum Cases,Confirmed,Probable,Suspected,Deaths,OB #,Region
1-Jun-14,73,13,79,18,3,58,6,15,Sierra Leone
1-Jun-14,73,,1,,,,,15,Liberia
3-Jun-14,75,11,344,207,81,56,215,15,Guinea
5-Jun-14,77,9,81,31,3,47,6,15,Sierra Leone
5-Jun-14,77,0,,,,,,15,Liberia
5-Jun-14,77,7,351,210,83,58,226,15,Guinea
5-Jun-14,77,0,,,,,,15,Liberia
6-Jun-14,78,8,89,33,3,53,7,15,Sierra Leone
16-Jun-14,88,47,398,254,88,56,264,15,Guinea
17-Jun-14,89,8,97,92,3,2,49,15,Sierra Leone
16-Jun-14,88,21,33,18,8,7,24,15,Liberia
18-Jun-14,90,,390,258,88,44,267,15,Guinea
17-Jun-14,89,39,136,103,19,14,58,15,Sierra Leone
19-Jun-14,91,8,41,24,9,8,25,15,Liberia
20-Jun-14,92,,390,260,87,43,270,15,Guinea
20-Jun-14,92,22,158,147,8,3,34,15,Sierra Leone
22-Jun-14,94,10,51,34,10,7,34,15,Liberia
30-Jun-14,102,23,413,293,88,32,303,15,Guinea
30-Jun-14,102,81,239,199,31,9,99,15,Sierra Leone
30-Jun-14,102,56,107,52,21,34,65,15,Liberia
8-Jul-14,110,*,409,296,96,17,309,15,Guinea
8-Jul-14,110,98,337,298,34,5,142,15,Sierra Leone
8-Jul-14,110,35,142,70,32,40,88,15,Liberia
12-Jul-14,114,*,406,297,92,17,304,15,Guinea
12-Jul-14,114,49,386,339,37,10,194,15,Sierra Leone
12-Jul-14,114,30,172,70,41,61,105,15,Liberia
14-Jul-14,116,5,411,301,95,15,310,15,Guinea
14-Jul-14,116,11,397,346,39,12,197,15,Sierra Leone
14-Jul-14,116,2,174,70,42,62,106,15,Liberia
17-Jul-14,119,0,410,301,95,14,310,15,Guinea
17-Jul-14,119,45,442,368,48,26,206,15,Sierra Leone
17-Jul-14,119,22,196,76,56,64,116,15,Liberia
,,,,,,,,,
22-Mar-14,,,49,,,,29,15,Guinea
24-Mar-14,,37,86,,,,59,15,Guinea
25-Mar-14,,,86,,,,60,15,Guinea
26-Mar-14,,,86,11,,,62,15,Guinea
27-Mar-14,,17,103,15,,15,66,15,Guinea
28-Mar-14,,9,112,24,,10,70,15,Guinea
31-Mar-14,,19,122,24,78,22,80,15,Guinea
1-Apr-14,,5,127,35,,,83,15,Guinea
4-Apr-14,,16,143,54,,,86,15,Guinea
7-Apr-14,,8,151,54,,,95,15,Guinea
9-Apr-14,,7,158,66,87,4,101,15,Guinea
11-Apr-14,,1,159,71,34,54,106,,Guinea
14-Apr-14,,9,168,,,,108,15,Guinea
16-Apr-14,,29,197,101,,,122,15,Guinea
17-Apr-14,,6,203,109,41,53,129,15,Guinea
20-Apr-14,,5,208,112,41,55,136,15,Guinea
23-Apr-14,,10,218,115,42,61,141,15,Guinea
26-Apr-14,,6,224,121,41,62,143,15,Guinea
1-May-14,,2,226,127,44,55,149,15,Guinea
3-May-14,,5,231,127,49,55,155,15,Guinea
5-May-14,,4,235,127,53,55,157,15,Guinea
